handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/32383,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC065,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, valex fiyatları hakkında bilgi veren mektup.",,,,Open Access,,,,,,,1931-03-04,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45452,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32383
123456789/32384,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC066,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, ellerinde olan valex miktarını haber veren mektup.",,,,Open Access,,,,,,,1931-04-25,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45453,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32384
123456789/32385,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC071,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, veli nimetleri Vafi Beyin irtihali için baş sağlığı mektubu.",,,,Open Access,,,,,,,1931-11-08,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45458,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32385
123456789/32386,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC078,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen nohud ve zeytinyağı fiyatları ile ilgili mektup.",,,,Open Access,,,,,,,1932-03-09,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45465,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32386
123456789/32387,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC089,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, ellerinde olan şekerin durumu ve fiyatı hakkında bilgi içeren mektup.",,,,Open Access,,,,,,,1932-11-19,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45476,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32387
123456789/32388,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC090,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, bazı tapu dairesi kayıtları ve zeytinyağı hakkında malumat içeren mektup.",,,,Open Access,,,,,,,1933-05-15,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-23 cm; Handwritten; Printed",1,,,45477,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32388
123456789/33207,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC006,"Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen, müşterilere irsal olunan üzümlerin Anadolu Vapuru’na yüklendiğine ve zirai üzüm masraflarına dair mektup.",,,,Open Access,,,,25 Teşrin-i Evvel 1940,,,1924-10-25,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,27-21 cm; Handwritten; Printed,1,,,45393,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33207
123456789/33208,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC007,Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen on çuval siyah üzüm istenmesine karşı neden yetmiş çuval sipariş edildiğini açıklayan mektup.,,,,Open Access,,,,29 Teşrin-i Evvel 1340,,,1924-10-29,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,27-21 cm; Handwritten; Printed,1,,,45394,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33208
123456789/33209,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC023,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Halim Efendi’ye gönderdiği tütün numunelerine Hamburg’dan alıcı çıkabileceğini haber veren mektup.",,,,Open Access,,,,,,,1928-06-23,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45410,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33209
123456789/33210,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC026,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, İsmet Paşa Vapuruyla 19 çuval çekirdeksiz üzüm gönderdiklerini haber veren mektup.",,,,Open Access,,,,,,,1928-10-03,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45413,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33210
123456789/33211,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC032,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, incirlerin gönderilmesinin çok pahalıya geldiğini haber veren mektup.",,,,Open Access,,,,,,,1928-10-28,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45419,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33211
123456789/33212,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC049,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Adnan Vapuru ile gönderilen mallar ulaşmadığı için satamadıklarını haber veren mektup.",,,,Open Access,,,,,,,1930-09-21,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45436,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33212
123456789/33213,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC058,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, incir fiyatlarını haber veren mektup.",,,,Open Access,,,,,,,1930-11-16,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45445,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33213
123456789/33214,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC076,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, nohudların vapura yüklendiğini ve faturalarının leffen takdim edildiğini bildiren mektup.",,,,Open Access,,,,,,,1932-01-10,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45463,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33214
123456789/33215,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC081,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, pamuk yağı hakkında malumat içeren mektup.",,,,Open Access,,,,,,,1932-04-21,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45468,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33215
123456789/33216,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC085,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen teşekkür mektubu. Mektupta çekirdeksiz üzüm fiyatlarıyla ilgili malumat verilmiştir.",,,,Open Access,,,,,,,1932-08-24,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-23 cm; Handwritten; Printed",1,,,45472,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33216
123456789/33217,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC091,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, sahip oldukları kahve mevcudu ve fiyatı hakkında malumat içeren mektup.",,,,Open Access,,,,,,,1933-07-23,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-23 cm; Handwritten; Printed",1,,,45478,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33217
123456789/34199,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC009,Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen susam ve hurda fiyatlarını bildiren mektup.,,,,Open Access,,,,11 Kanun-i Sani 1341,,,1925-01-11,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,27-21 cm; Handwritten; Printed,1,,,45396,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34199
123456789/34200,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC011,"Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen, bir hatadan dolayı bankaya yatırılan paranın ellerine geç geçeceğine dair mektup.",,,,Open Access,,,,17 Teşrin-i Sani 1341,,,1925-11-17,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,27-21 cm; Handwritten; Printed,2,,,45398,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34200
123456789/34201,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC013,"Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, üzüm siparişi ile ilgili mektup.",,,,Open Access,,,,23 Eylül 1342,,,1926-09-23,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-23 cm; Handwritten; Printed",1,,,45400,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34201
123456789/34202,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC016,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, hesaplarına Hasan Natık Efendi ile para gönderilmesini arz eden mektup.",,,,Open Access,Mektupta ayrıca zeytinyağı ile ilgili bilgi verilmiştir.,,,,,,1928-01-11,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27,5-21,5 cm; Handwritten; Printed",1,,,45403,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34202
123456789/34203,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC019,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, zeytinyağı sabunları hakkında bilgi veren mektup.",,,,Open Access,,,,,,,1928-03-01,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27,5-21,5 cm; Handwritten; Printed",1,,,45406,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34203
123456789/34204,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC021,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası Şirketinden İstanbulda tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Selanik Bankasına 21705/6151 numaralı çek mucibince 2000 Frank gönderildiğine dair mektup.",,,,Open Access,,,,,,,1928-06-16,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27,5-21,5 cm; Handwritten; Printed",1,,,45408,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34204
123456789/34205,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC030,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, incir gönderimi ile ilgili malumat veren mektup.",,,,Open Access,,,,,,,1928-10-11,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45417,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34205
123456789/34206,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC033,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, incirlerin muamelesini bittiği ve pazar günü gönderileceğini haber veren mektup.",,,,Open Access,,,,,,,1928-11-01,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45420,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34206
123456789/34207,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC036,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası Şirketi’nden İstanbul’da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, incirlerin belirlenen fiyattan satılıp Noroszade Hüseyin Bey’e vapurla gönderildiğine dair mektup.",,,,Open Access,,,,,,,1928-12-11,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45423,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34207
123456789/34208,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC044,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Selanik Bankası Maarıfeti’yle Ali Vafi mahdumları hesabına para yatırıldığını haber veren mektup.",,,,Open Access,,,,,,,1929-02-07,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45431,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34208
123456789/34209,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC046,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, biraderleri Hasan Bey’le gönderilen paranın Ali Vafi mahdumları hesabına yatırıldığına dair mektup.",,,,Open Access,,,,,,,1929-04-13,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45433,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34209
123456789/34210,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC051,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, ziyan olan mallar yüzünden stokta olan malların fiyatlarının değiştiğini haber veren mektup.",,,,Open Access,,,,,,,1930-10-07,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45438,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34210
123456789/34211,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC062,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, valex fiyatları pahalı olduğu için satamadıklarını haber veren mektup.",,,,Open Access,Sipariş verilen üzümlerin vapura yüklendiğinden de bahsedilmektedir.,,,,,,1930-12-03,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45449,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34211
123456789/34212,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC068,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, çekirdeksiz üzüm borcunu ve valexlerin hepsinin satıldığını haber veren mektup.",,,,Open Access,,,,,,,1931-05-17,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45455,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34212
123456789/34213,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC075,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, nohud siparişi ve zeytinyağı sabunları ile ilgili mektup.",,,,Open Access,,,,,,,1932-01-07,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45462,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34213
123456789/34214,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC080,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Hakkı Bey’in apandist ameliyatı olduğu haberini içeren mektup.",,,,Open Access,,,,,,,1932-04-12,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45467,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34214
123456789/34215,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC082,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, zeytin yağ fiyatlarında ve Hakkı Bey,in durumunu merak ettiklerini",,,,Open Access,,,,,,,1932-04-28,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45469,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34215
123456789/34216,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC083,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, palamut hülasası hakkında bilgi veren mektup.",,,,Open Access,,,,,,,1932-05-16,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45470,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34216
123456789/34217,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC087,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, ellerinde bulunan kahvelerle ilgili malumat içeren mektup.",,,,Open Access,,,,,,,1932-09-26,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,29-23 cm; Handwritten; Printed,1,,,45474,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34217
123456789/35203,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC005,"Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen buğday ve mısır hakkında bilgi isteyen, zeytin yağlarının İstiklal Vapuru’na yüklendiğine dair mektup.",,,,Open Access,,,,25 Ağustos 1340,,,1924-08-25,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-21,5 cm; Handwritten; Printed",1,,,45392,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/35203
123456789/35204,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC014,"Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi Şirketi’nden, İstanbul’da Ali Vafi mahdumlarına gönderilen, alıcısı bulunmadığı için tütünleri Hamburg’a kendi hesaplarına göndereceklerine, tütünler Osmanlı Bankası anbarında ise haberleri olmadığına dair mektup.",,,,Open Access,,,,,,,1927-07-10,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45401,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/35204
123456789/35205,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC015,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Rüstem Efendi'nin sipariş ettiği sabunların vapurda zayi olduğunu belirten mektup.",,,,Open Access,,,,,,,1927-08-14,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27,5-21,5 cm; Handwritten; Printed",1,,,45402,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/35205
123456789/35206,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC017,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, kendilerinden haber alınamadığıyla ilgili yazıya cevaben gönderilmiş mektup.",,,,Open Access,,,,,,,1928-01-21,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27,5-21,5 cm; Handwritten; Printed",1,,,45404,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/35206
123456789/35207,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC025,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketinden tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Adnan Vapuru ile gönderilen üzümlerin geç gittiğine ve üzümlere sigorta yapılması gerektiğine dair mektup.",,,,Open Access,,,,,,,1928-09-20,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45412,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/35207
123456789/35208,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC037,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Noroszade Hüseyin Bey’e vapurla pamuk gönderildiğini ve bu pamukların fiyatını haber veren mektup.",,,,Open Access,,,,,,,1928-12-13,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45424,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/35208
